carnet,nombre,carrera,departamento,promedio
EST000060,Estudiante 60,Administración,Santa Ana,7.25
EST000061,Estudiante 61,Ingeniería en Sistemas,San Miguel,9.74
EST000062,Estudiante 62,Contaduría,Sonsonate,9.02
EST000063,Estudiante 63,Ingeniería Industrial,Sonsonate,7.6
EST000064,Estudiante 64,Arquitectura,Sonsonate,6.68
EST000065,Estudiante 65,Contaduría,La Libertad,8.39
EST000066,Estudiante 66,Ingeniería en Sistemas,Sonsonate,7.0
EST000067,Estudiante 67,Ingeniería Industrial,La Libertad,5.23
EST000068,Estudiante 68,Contaduría,San Salvador,7.26
EST000069,Estudiante 69,Ingeniería Industrial,San Miguel,8.55
EST000070,Estudiante 70,Ingeniería en Sistemas,La Libertad,8.23
EST000071,Estudiante 71,Ingeniería Industrial,Sonsonate,9.47
EST000072,Estudiante 72,Ingeniería Industrial,La Libertad,8.31
EST000073,Estudiante 73,Ingeniería Industrial,San Miguel,6.36
EST000074,Estudiante 74,Contaduría,San Miguel,9.34
EST000075,Estudiante 75,Arquitectura,Santa Ana,5.94
EST000076,Estudiante 76,Ingeniería Industrial,Santa Ana,7.32
EST000077,Estudiante 77,Arquitectura,Santa Ana,7.34
EST000078,Estudiante 78,Administración,Sonsonate,7.41
EST000079,Estudiante 79,Ingeniería en Sistemas,Sonsonate,8.98
EST000080,Estudiante 80,Administración,San Salvador,9.24
EST000081,Estudiante 81,Ingeniería Industrial,San Salvador,9.77
EST000082,Estudiante 82,Arquitectura,Santa Ana,7.04
EST000083,Estudiante 83,Ingeniería Industrial,San Salvador,6.76
EST000084,Estudiante 84,Ingeniería Industrial,Santa Ana,7.81
EST000085,Estudiante 85,Contaduría,Sonsonate,6.08
EST000086,Estudiante 86,Contaduría,Santa Ana,7.78
EST000087,Estudiante 87,Contaduría,La Libertad,7.85
EST000088,Estudiante 88,Contaduría,Santa Ana,8.35
EST000089,Estudiante 89,Ingeniería Industrial,San Salvador,8.91
EST000090,Estudiante 90,Ingeniería en Sistemas,San Miguel,5.86
EST000091,Estudiante 91,Ingeniería en Sistemas,Santa Ana,8.61
EST000092,Estudiante 92,Ingeniería Industrial,San Salvador,7.53
EST000093,Estudiante 93,Administración,Sonsonate,9.19
EST000094,Estudiante 94,Administración,Santa Ana,5.81
EST000095,Estudiante 95,Administración,San Salvador,5.07
EST000096,Estudiante 96,Administración,San Miguel,9.83
EST000097,Estudiante 97,Ingeniería en Sistemas,San Salvador,6.18
EST000098,Estudiante 98,Administración,San Salvador,5.47
EST000099,Estudiante 99,Contaduría,Sonsonate,9.94
EST000100,Estudiante 100,Administración,Santa Ana,8.9
EST000101,Estudiante 101,Contaduría,Sonsonate,5.19
EST000102,Estudiante 102,Arquitectura,Santa Ana,8.04
EST000103,Estudiante 103,Contaduría,San Miguel,7.13
EST000104,Estudiante 104,Ingeniería en Sistemas,Santa Ana,9.31
EST000105,Estudiante 105,Administración,San Miguel,6.46
EST000106,Estudiante 106,Administración,San Salvador,8.68
EST000107,Estudiante 107,Arquitectura,San Salvador,6.41
EST000108,Estudiante 108,Administración,Santa Ana,8.64
EST000109,Estudiante 109,Ingeniería en Sistemas,Santa Ana,8.84
EST000110,Estudiante 110,Administración,Sonsonate,9.51
EST000111,Estudiante 111,Contaduría,Santa Ana,5.99
EST000112,Estudiante 112,Ingeniería en Sistemas,San Salvador,5.81
EST000113,Estudiante 113,Ingeniería en Sistemas,San Salvador,5.19
EST000114,Estudiante 114,Contaduría,Santa Ana,7.98
EST000115,Estudiante 115,Administración,San Salvador,7.12
EST000116,Estudiante 116,Ingeniería Industrial,Santa Ana,7.08
EST000117,Estudiante 117,Arquitectura,La Libertad,8.88
EST000118,Estudiante 118,Ingeniería Industrial,La Libertad,5.92
EST000119,Estudiante 119,Ingeniería en Sistemas,Sonsonate,8.42
EST000120,Estudiante 120,Arquitectura,Santa Ana,8.93
EST000121,Estudiante 121,Ingeniería Industrial,San Salvador,5.08
EST000122,Estudiante 122,Contaduría,San Miguel,7.09
EST000123,Estudiante 123,Administración,La Libertad,9.72
EST000124,Estudiante 124,Contaduría,San Salvador,9.2
EST000125,Estudiante 125,Contaduría,San Salvador,8.25
EST000126,Estudiante 126,Contaduría,Santa Ana,6.7
EST000127,Estudiante 127,Contaduría,Santa Ana,5.28
EST000128,Estudiante 128,Ingeniería en Sistemas,La Libertad,7.35
EST000129,Estudiante 129,Ingeniería Industrial,Sonsonate,9.31
EST000130,Estudiante 130,Arquitectura,Santa Ana,9.75
EST000131,Estudiante 131,Ingeniería Industrial,Sonsonate,9.15
EST000132,Estudiante 132,Administración,La Libertad,6.87
EST000133,Estudiante 133,Arquitectura,San Miguel,7.74
EST000134,Estudiante 134,Arquitectura,Sonsonate,6.56
EST000135,Estudiante 135,Ingeniería Industrial,San Miguel,5.77
EST000136,Estudiante 136,Ingeniería en Sistemas,Santa Ana,9.07
EST000137,Estudiante 137,Contaduría,San Miguel,8.98
EST000138,Estudiante 138,Ingeniería Industrial,San Salvador,6.5
EST000139,Estudiante 139,Contaduría,Santa Ana,5.69
EST000140,Estudiante 140,Ingeniería en Sistemas,San Salvador,7.67
EST000141,Estudiante 141,Contaduría,Santa Ana,7.86
EST000142,Estudiante 142,Arquitectura,San Miguel,7.69
EST000143,Estudiante 143,Contaduría,La Libertad,9.83
EST000144,Estudiante 144,Ingeniería en Sistemas,San Salvador,5.71
EST000145,Estudiante 145,Arquitectura,Santa Ana,7.74
EST000146,Estudiante 146,Administración,San Salvador,8.69
EST000147,Estudiante 147,Ingeniería Industrial,La Libertad,9.49
EST000148,Estudiante 148,Administración,Sonsonate,6.43
EST000149,Estudiante 149,Ingeniería Industrial,San Miguel,5.94
EST000150,Estudiante 150,Ingeniería en Sistemas,Sonsonate,8.24
EST000151,Estudiante 151,Arquitectura,Santa Ana,9.06
EST000152,Estudiante 152,Contaduría,La Libertad,8.61
EST000153,Estudiante 153,Ingeniería en Sistemas,La Libertad,6.57
EST000154,Estudiante 154,Ingeniería Industrial,La Libertad,5.14
EST000155,Estudiante 155,Ingeniería en Sistemas,Sonsonate,8.34
EST000156,Estudiante 156,Ingeniería en Sistemas,Santa Ana,5.32
EST000157,Estudiante 157,Administración,La Libertad,7.66
EST000158,Estudiante 158,Contaduría,Sonsonate,6.24
EST000159,Estudiante 159,Ingeniería en Sistemas,Santa Ana,7.42
EST000160,Estudiante 160,Ingeniería en Sistemas,San Miguel,6.31
EST000161,Estudiante 161,Administración,San Salvador,6.74
EST000162,Estudiante 162,Arquitectura,San Salvador,7.78
EST000163,Estudiante 163,Ingeniería Industrial,Santa Ana,8.42
EST000164,Estudiante 164,Arquitectura,Sonsonate,6.73
EST000165,Estudiante 165,Ingeniería en Sistemas,San Salvador,9.04
EST000166,Estudiante 166,Administración,Santa Ana,8.77
EST000167,Estudiante 167,Ingeniería Industrial,La Libertad,6.63
EST000168,Estudiante 168,Contaduría,Sonsonate,6.66
EST000169,Estudiante 169,Arquitectura,San Miguel,6.57
EST000170,Estudiante 170,Ingeniería Industrial,San Miguel,6.1
EST000171,Estudiante 171,Administración,Santa Ana,7.05
EST000172,Estudiante 172,Contaduría,San Miguel,6.06
EST000173,Estudiante 173,Arquitectura,Sonsonate,8.28
EST000174,Estudiante 174,Ingeniería Industrial,San Miguel,6.34
EST000175,Estudiante 175,Ingeniería en Sistemas,Santa Ana,6.33
EST000176,Estudiante 176,Arquitectura,Santa Ana,5.73
EST000177,Estudiante 177,Administración,La Libertad,6.66
EST000178,Estudiante 178,Ingeniería Industrial,Sonsonate,8.86
EST000179,Estudiante 179,Administración,Santa Ana,7.87
EST000180,Estudiante 180,Arquitectura,San Miguel,5.11
EST000181,Estudiante 181,Administración,San Miguel,6.68
EST000182,Estudiante 182,Arquitectura,Sonsonate,7.58
EST000183,Estudiante 183,Arquitectura,Santa Ana,8.24
EST000184,Estudiante 184,Ingeniería en Sistemas,San Miguel,8.62
EST000185,Estudiante 185,Ingeniería en Sistemas,Santa Ana,7.79
EST000186,Estudiante 186,Administración,La Libertad,6.67
EST000187,Estudiante 187,Contaduría,San Miguel,9.16
EST000188,Estudiante 188,Arquitectura,San Miguel,6.69
EST000189,Estudiante 189,Ingeniería en Sistemas,La Libertad,8.18
EST000190,Estudiante 190,Administración,Santa Ana,5.09
EST000191,Estudiante 191,Ingeniería Industrial,San Miguel,7.57
EST000192,Estudiante 192,Contaduría,Santa Ana,5.39
EST000193,Estudiante 193,Ingeniería Industrial,Sonsonate,8.84
EST000194,Estudiante 194,Ingeniería en Sistemas,La Libertad,6.65
EST000195,Estudiante 195,Ingeniería Industrial,San Miguel,6.03
EST000196,Estudiante 196,Ingeniería Industrial,Santa Ana,5.42
EST000197,Estudiante 197,Arquitectura,Sonsonate,8.41
EST000198,Estudiante 198,Contaduría,La Libertad,5.54
EST000199,Estudiante 199,Administración,San Miguel,5.22
EST000200,Estudiante 200,Contaduría,Sonsonate,9.94
EST000201,Estudiante 201,Arquitectura,Santa Ana,6.72
EST000202,Estudiante 202,Administración,Sonsonate,7.4
EST000203,Estudiante 203,Arquitectura,Santa Ana,9.19
EST000204,Estudiante 204,Ingeniería en Sistemas,San Miguel,5.67
EST000205,Estudiante 205,Arquitectura,Santa Ana,6.27
EST000206,Estudiante 206,Arquitectura,La Libertad,6.84
EST000207,Estudiante 207,Contaduría,San Miguel,6.52
EST000208,Estudiante 208,Contaduría,San Salvador,9.07
EST000209,Estudiante 209,Ingeniería en Sistemas,Sonsonate,8.41
EST000210,Estudiante 210,Administración,San Miguel,8.08
EST000211,Estudiante 211,Contaduría,Sonsonate,7.98
EST000212,Estudiante 212,Arquitectura,Santa Ana,8.3
EST000213,Estudiante 213,Administración,La Libertad,5.39
EST000214,Estudiante 214,Contaduría,La Libertad,8.8
EST000215,Estudiante 215,Contaduría,Sonsonate,9.34
EST000216,Estudiante 216,Ingeniería en Sistemas,Sonsonate,9.9
EST000217,Estudiante 217,Ingeniería en Sistemas,San Miguel,6.2
EST000218,Estudiante 218,Arquitectura,Sonsonate,9.28
EST000219,Estudiante 219,Ingeniería Industrial,Sonsonate,6.06
EST000220,Estudiante 220,Administración,San Miguel,5.68
EST000221,Estudiante 221,Administración,Santa Ana,9.99
EST000222,Estudiante 222,Arquitectura,Sonsonate,8.08
EST000223,Estudiante 223,Contaduría,La Libertad,5.76
EST000224,Estudiante 224,Contaduría,La Libertad,8.64
EST000225,Estudiante 225,Ingeniería Industrial,Sonsonate,5.31
EST000226,Estudiante 226,Ingeniería en Sistemas,Santa Ana,8.95
EST000227,Estudiante 227,Ingeniería Industrial,La Libertad,6.34
EST000228,Estudiante 228,Contaduría,Santa Ana,5.64
EST000229,Estudiante 229,Ingeniería Industrial,La Libertad,8.46
EST000230,Estudiante 230,Ingeniería Industrial,La Libertad,7.07
EST000231,Estudiante 231,Contaduría,San Miguel,9.56
EST000232,Estudiante 232,Ingeniería en Sistemas,Santa Ana,6.1
EST000233,Estudiante 233,Administración,Sonsonate,5.46
EST000234,Estudiante 234,Arquitectura,La Libertad,9.5
EST000235,Estudiante 235,Ingeniería Industrial,Sonsonate,5.2
EST000236,Estudiante 236,Ingeniería en Sistemas,San Salvador,5.47
EST000237,Estudiante 237,Contaduría,Santa Ana,6.64
EST000238,Estudiante 238,Ingeniería en Sistemas,La Libertad,7.52
EST000239,Estudiante 239,Ingeniería en Sistemas,San Miguel,8.32
EST000240,Estudiante 240,Ingeniería Industrial,La Libertad,6.21
EST000241,Estudiante 241,Arquitectura,La Libertad,6.86
EST000242,Estudiante 242,Contaduría,San Miguel,8.61
EST000243,Estudiante 243,Arquitectura,Santa Ana,8.53
EST000244,Estudiante 244,Administración,San Miguel,9.68
EST000245,Estudiante 245,Contaduría,Sonsonate,7.41
EST000246,Estudiante 246,Ingeniería Industrial,La Libertad,5.58
EST000247,Estudiante 247,Ingeniería en Sistemas,Santa Ana,8.57
EST000248,Estudiante 248,Contaduría,La Libertad,5.58
EST000249,Estudiante 249,Ingeniería Industrial,San Miguel,5.95
EST000250,Estudiante 250,Arquitectura,San Salvador,7.73
EST000251,Estudiante 251,Ingeniería Industrial,Santa Ana,6.44
EST000252,Estudiante 252,Administración,San Miguel,5.05
EST000253,Estudiante 253,Contaduría,San Miguel,9.43
EST000254,Estudiante 254,Administración,San Miguel,9.92
EST000255,Estudiante 255,Ingeniería en Sistemas,La Libertad,7.8
EST000256,Estudiante 256,Administración,San Miguel,6.89
EST000257,Estudiante 257,Contaduría,San Salvador,9.65
EST000258,Estudiante 258,Contaduría,Santa Ana,8.77
EST000259,Estudiante 259,Ingeniería en Sistemas,San Miguel,7.34
EST000260,Estudiante 260,Contaduría,Sonsonate,9.1
EST000261,Estudiante 261,Ingeniería en Sistemas,Santa Ana,6.48
EST000262,Estudiante 262,Ingeniería en Sistemas,Sonsonate,5.21
EST000263,Estudiante 263,Contaduría,San Miguel,7.82
EST000264,Estudiante 264,Arquitectura,Sonsonate,9.8
EST000265,Estudiante 265,Contaduría,San Miguel,7.7
EST000266,Estudiante 266,Ingeniería Industrial,Santa Ana,5.67
EST000267,Estudiante 267,Ingeniería en Sistemas,San Miguel,5.46
EST000268,Estudiante 268,Contaduría,Santa Ana,5.09
EST000269,Estudiante 269,Ingeniería en Sistemas,San Salvador,8.76
EST000270,Estudiante 270,Contaduría,San Salvador,8.66
EST000271,Estudiante 271,Administración,La Libertad,6.54
EST000272,Estudiante 272,Arquitectura,La Libertad,6.61
EST000273,Estudiante 273,Arquitectura,La Libertad,7.0
EST000274,Estudiante 274,Contaduría,Santa Ana,7.09
EST000275,Estudiante 275,Arquitectura,La Libertad,7.98
EST000276,Estudiante 276,Arquitectura,La Libertad,8.84
EST000277,Estudiante 277,Contaduría,San Miguel,7.95
EST000278,Estudiante 278,Arquitectura,Sonsonate,5.08
EST000279,Estudiante 279,Ingeniería Industrial,San Miguel,8.65
EST000280,Estudiante 280,Contaduría,San Miguel,8.92
EST000281,Estudiante 281,Administración,La Libertad,9.3
EST000282,Estudiante 282,Administración,Santa Ana,8.83
EST000283,Estudiante 283,Contaduría,San Salvador,6.77
EST000284,Estudiante 284,Contaduría,La Libertad,9.77
EST000285,Estudiante 285,Ingeniería en Sistemas,Sonsonate,6.84
EST000286,Estudiante 286,Ingeniería Industrial,Sonsonate,5.38
EST000287,Estudiante 287,Ingeniería Industrial,San Miguel,7.03
EST000288,Estudiante 288,Ingeniería en Sistemas,San Salvador,9.03
EST000289,Estudiante 289,Arquitectura,San Miguel,9.88
EST000290,Estudiante 290,Ingeniería Industrial,La Libertad,5.26
EST000291,Estudiante 291,Ingeniería Industrial,Sonsonate,6.33
EST000292,Estudiante 292,Administración,San Salvador,6.28
EST000293,Estudiante 293,Ingeniería en Sistemas,La Libertad,8.53
EST000294,Estudiante 294,Contaduría,San Salvador,9.5
EST000295,Estudiante 295,Contaduría,San Salvador,6.78
EST000296,Estudiante 296,Arquitectura,Sonsonate,8.15
EST000297,Estudiante 297,Ingeniería en Sistemas,La Libertad,8.25
EST000298,Estudiante 298,Arquitectura,San Salvador,6.46
EST000299,Estudiante 299,Ingeniería Industrial,San Salvador,6.4
EST000300,Estudiante 300,Ingeniería en Sistemas,Santa Ana,8.09
EST000301,Estudiante 301,Ingeniería en Sistemas,San Miguel,9.62
EST000302,Estudiante 302,Ingeniería en Sistemas,Sonsonate,5.84
EST000303,Estudiante 303,Contaduría,Sonsonate,7.7
EST000304,Estudiante 304,Arquitectura,San Salvador,7.71
EST000305,Estudiante 305,Ingeniería Industrial,Sonsonate,6.96
EST000306,Estudiante 306,Ingeniería en Sistemas,La Libertad,5.16
EST000307,Estudiante 307,Arquitectura,San Miguel,7.78
EST000308,Estudiante 308,Arquitectura,Sonsonate,5.89
EST000309,Estudiante 309,Ingeniería Industrial,La Libertad,7.8
EST000310,Estudiante 310,Contaduría,Santa Ana,7.0
EST000311,Estudiante 311,Ingeniería Industrial,San Miguel,5.46
EST000312,Estudiante 312,Administración,San Salvador,8.74
EST000313,Estudiante 313,Ingeniería Industrial,Sonsonate,9.31
EST000314,Estudiante 314,Ingeniería Industrial,San Miguel,9.35
EST000315,Estudiante 315,Ingeniería Industrial,Santa Ana,5.88
EST000316,Estudiante 316,Contaduría,San Salvador,5.69
EST000317,Estudiante 317,Arquitectura,San Salvador,9.83
EST000318,Estudiante 318,Arquitectura,San Miguel,8.35
EST000319,Estudiante 319,Administración,Sonsonate,9.71
EST000320,Estudiante 320,Ingeniería en Sistemas,Sonsonate,5.11
EST000321,Estudiante 321,Administración,La Libertad,5.58
EST000322,Estudiante 322,Ingeniería Industrial,Santa Ana,7.97
EST000323,Estudiante 323,Contaduría,Sonsonate,5.9
EST000324,Estudiante 324,Contaduría,San Salvador,9.86
EST000325,Estudiante 325,Administración,La Libertad,8.57
EST000326,Estudiante 326,Contaduría,San Salvador,6.21
EST000327,Estudiante 327,Arquitectura,La Libertad,8.04
EST000328,Estudiante 328,Contaduría,San Miguel,5.57
EST000329,Estudiante 329,Ingeniería Industrial,San Salvador,8.06
EST000330,Estudiante 330,Administración,La Libertad,7.04
EST000331,Estudiante 331,Administración,San Salvador,7.22
EST000332,Estudiante 332,Administración,La Libertad,6.91
EST000333,Estudiante 333,Ingeniería en Sistemas,San Miguel,7.94
EST000334,Estudiante 334,Ingeniería en Sistemas,La Libertad,9.16
EST000335,Estudiante 335,Arquitectura,San Salvador,9.23
EST000336,Estudiante 336,Administración,San Miguel,8.85
EST000337,Estudiante 337,Administración,Santa Ana,7.23
EST000338,Estudiante 338,Contaduría,San Miguel,7.35
EST000339,Estudiante 339,Administración,La Libertad,5.51
EST000340,Estudiante 340,Contaduría,San Salvador,6.02
EST000341,Estudiante 341,Administración,San Miguel,6.12
EST000342,Estudiante 342,Administración,La Libertad,9.0
EST000343,Estudiante 343,Ingeniería Industrial,San Miguel,5.64
EST000344,Estudiante 344,Administración,Sonsonate,6.97
EST000345,Estudiante 345,Contaduría,Sonsonate,6.51
EST000346,Estudiante 346,Contaduría,Sonsonate,9.85
EST000347,Estudiante 347,Administración,Santa Ana,9.33
EST000348,Estudiante 348,Arquitectura,La Libertad,5.88
EST000349,Estudiante 349,Administración,San Salvador,8.67
EST000350,Estudiante 350,Ingeniería Industrial,Santa Ana,5.85
EST000351,Estudiante 351,Arquitectura,Sonsonate,5.63
EST000352,Estudiante 352,Arquitectura,San Miguel,8.4
EST000353,Estudiante 353,Contaduría,Santa Ana,8.69
EST000354,Estudiante 354,Contaduría,Sonsonate,6.69
EST000355,Estudiante 355,Administración,San Miguel,6.13
EST000356,Estudiante 356,Contaduría,Sonsonate,6.43
EST000357,Estudiante 357,Contaduría,Sonsonate,6.75
EST000358,Estudiante 358,Administración,San Miguel,7.63
EST000359,Estudiante 359,Ingeniería en Sistemas,San Miguel,7.63
EST000360,Estudiante 360,Arquitectura,Sonsonate,9.46
EST000361,Estudiante 361,Administración,La Libertad,7.8
EST000362,Estudiante 362,Arquitectura,Santa Ana,9.32
EST000363,Estudiante 363,Ingeniería en Sistemas,San Salvador,6.18
EST000364,Estudiante 364,Ingeniería Industrial,San Miguel,8.09
EST000365,Estudiante 365,Arquitectura,La Libertad,7.18
EST000366,Estudiante 366,Ingeniería Industrial,Santa Ana,5.16
EST000367,Estudiante 367,Ingeniería en Sistemas,San Salvador,5.58
EST000368,Estudiante 368,Arquitectura,San Salvador,7.29
EST000369,Estudiante 369,Administración,Sonsonate,9.97
EST000370,Estudiante 370,Ingeniería en Sistemas,San Miguel,6.18
EST000371,Estudiante 371,Administración,San Salvador,5.48
EST000372,Estudiante 372,Ingeniería en Sistemas,Santa Ana,8.29
EST000373,Estudiante 373,Arquitectura,San Miguel,5.5
EST000374,Estudiante 374,Ingeniería en Sistemas,La Libertad,9.37
EST000375,Estudiante 375,Contaduría,San Miguel,6.7
EST000376,Estudiante 376,Ingeniería Industrial,San Salvador,5.43
EST000377,Estudiante 377,Ingeniería Industrial,La Libertad,7.22
EST000378,Estudiante 378,Ingeniería en Sistemas,Sonsonate,8.98
EST000379,Estudiante 379,Arquitectura,La Libertad,5.46
EST000380,Estudiante 380,Arquitectura,San Miguel,9.38
EST000381,Estudiante 381,Ingeniería en Sistemas,San Miguel,7.49
EST000382,Estudiante 382,Arquitectura,San Miguel,6.76
EST000383,Estudiante 383,Ingeniería en Sistemas,San Salvador,7.04
EST000384,Estudiante 384,Arquitectura,San Salvador,6.28
EST000385,Estudiante 385,Contaduría,Sonsonate,6.24
EST000386,Estudiante 386,Ingeniería en Sistemas,Santa Ana,9.76
EST000387,Estudiante 387,Ingeniería en Sistemas,La Libertad,8.01
EST000388,Estudiante 388,Administración,Santa Ana,8.88
EST000389,Estudiante 389,Arquitectura,San Salvador,8.47
EST000390,Estudiante 390,Administración,San Salvador,7.05
EST000391,Estudiante 391,Ingeniería en Sistemas,Sonsonate,8.84
EST000392,Estudiante 392,Administración,Santa Ana,7.13
EST000393,Estudiante 393,Contaduría,Sonsonate,6.55
EST000394,Estudiante 394,Contaduría,Sonsonate,5.91
EST000395,Estudiante 395,Arquitectura,Santa Ana,5.17
EST000396,Estudiante 396,Contaduría,Santa Ana,7.64
EST000397,Estudiante 397,Administración,San Miguel,8.69
EST000398,Estudiante 398,Administración,La Libertad,8.54
EST000399,Estudiante 399,Contaduría,San Miguel,5.81
EST000400,Estudiante 400,Contaduría,Santa Ana,9.76
EST000401,Estudiante 401,Administración,San Salvador,9.36
EST000402,Estudiante 402,Ingeniería Industrial,San Salvador,9.59
EST000403,Estudiante 403,Contaduría,Sonsonate,6.69
EST000404,Estudiante 404,Administración,San Salvador,8.31
EST000405,Estudiante 405,Arquitectura,San Miguel,8.06
EST000406,Estudiante 406,Contaduría,San Miguel,8.38
EST000407,Estudiante 407,Administración,San Miguel,8.78
EST000408,Estudiante 408,Arquitectura,Sonsonate,6.62
EST000409,Estudiante 409,Arquitectura,Santa Ana,5.07
EST000410,Estudiante 410,Administración,San Miguel,8.68
EST000411,Estudiante 411,Administración,San Miguel,5.05
EST000412,Estudiante 412,Arquitectura,San Miguel,5.22
EST000413,Estudiante 413,Ingeniería en Sistemas,Santa Ana,7.7
EST000414,Estudiante 414,Contaduría,San Salvador,5.58
EST000415,Estudiante 415,Administración,San Miguel,6.31
EST000416,Estudiante 416,Administración,Santa Ana,5.01
EST000417,Estudiante 417,Ingeniería Industrial,San Salvador,5.39
EST000418,Estudiante 418,Ingeniería Industrial,San Salvador,8.54
EST000419,Estudiante 419,Contaduría,Sonsonate,7.28
EST000420,Estudiante 420,Contaduría,Sonsonate,7.58
EST000421,Estudiante 421,Contaduría,San Salvador,6.45
EST000422,Estudiante 422,Ingeniería en Sistemas,San Miguel,6.15
EST000423,Estudiante 423,Ingeniería en Sistemas,San Salvador,8.97
EST000424,Estudiante 424,Ingeniería en Sistemas,Sonsonate,9.37
EST000425,Estudiante 425,Arquitectura,San Salvador,5.68
EST000426,Estudiante 426,Contaduría,San Salvador,8.78
EST000427,Estudiante 427,Administración,San Miguel,9.61
EST000428,Estudiante 428,Contaduría,San Miguel,5.95
EST000429,Estudiante 429,Ingeniería en Sistemas,San Miguel,6.56
EST000430,Estudiante 430,Administración,Sonsonate,5.82
EST000431,Estudiante 431,Arquitectura,San Salvador,5.34
EST000432,Estudiante 432,Contaduría,San Miguel,9.11
EST000433,Estudiante 433,Arquitectura,La Libertad,8.92
EST000434,Estudiante 434,Administración,San Salvador,8.98
EST000435,Estudiante 435,Arquitectura,La Libertad,6.35
EST000436,Estudiante 436,Arquitectura,Sonsonate,8.11
EST000437,Estudiante 437,Ingeniería Industrial,Santa Ana,5.8
EST000438,Estudiante 438,Administración,San Salvador,9.43
EST000439,Estudiante 439,Ingeniería Industrial,San Miguel,6.93
EST000440,Estudiante 440,Administración,San Miguel,9.84
EST000441,Estudiante 441,Ingeniería en Sistemas,Santa Ana,7.89
EST000442,Estudiante 442,Ingeniería en Sistemas,Santa Ana,7.76
EST000443,Estudiante 443,Ingeniería Industrial,Santa Ana,6.28
